Drug,Content,Joined,Posted,Age,Gender
Lisinopril+hypertension,Hi. I've been taking Lisinopril 40mg; and crazy dizziness and headaches occurred and brought my blood pressure down to around 90/50; so my doctor had me take only 20mg lisinopril per day. With 20mg; my blood pressure was constantly at 160-170/100. Then; the doctor told me to take Atenolol 25mg at night and lisinopril 20mg in the morning. It brought my blood pressure down to around 100/60 regularly; but recently it started going up again. I often have electric tingling/weakness in my hands/arms/legs and feel like I will faint. Blood pressure fluctuates from 160/100 to 100/60 from one day to another. Doctor thinks I have panic attack and should take Xanax for it. But; I feel like the medication combination (atenolol/lisinopril) is giving me hard time. I asked doctor to please change the medication but he refuses; and he thinks it's the anxiety attack that's the cause for all this. What should I do? Is Lisinopril/Atenolol a proven combination to help hypertension? Thanks.,2010,2010,49,Female
Lisinopril+hypertension,I have a choice to choose between Lisinopril or Ramipril (I know latter works in lower doses). But which one is more effective in this condition?,2011,2011,,
Lisinopril+hypertension,if lisinopril and cozaar aren't working to lower bp in combo with atenolol and hctz; in fact either causes higher bp and not feeling well; what is another possible choice,2014,2014,,
Lisinopril+hypertension,Hello; I believe I suffer from white coat hypertension. Earlier (until a year ago); when I didn't care about my blood pressure; I always had excellent results when my doctor measured it (115-120/60-70). After I started worrying about my heart (not so much anymore; I usually try my best to help people on the heart rhythm community) my BP readings are higher. I feel my muscles get tense and my heart starts pounding when the cuff inflates; and blood pressure is 140-155/80-95. At home; I get similar symptoms on the first measuring; but it resolves and gradually slows to 120/70 after some tries. I measured it one weekend after a good night of sleep and it was 105/55. I was completely relaxed; for once; at that time. What is quite strange; is that I imagine this started when I started using propranolol (20 mg) for PACs and sinus tachycardia. After this; my heart didn't race when I got scared; but beat harder instead. When I was really scared; I actually had bradycardia; but I got a strange sensation that my blood vessels were constricted (may be imagination..) I got my beta blocker changed to metoprolol (25 mg) and I feel my anxiety getting a bit stronger. But now my heart races a bit more in response to anxiety. Can propranolol actually contribute to higher blood pressure with stress? Are my assumptions correct that propranolol works better on anxiety due to the non-selective effect? Is my BP really normal? My heart is otherwise fine with normal chambers; wall dimensions and excellent contractility (EF 78%). I have some PACs but I'm otherwise healthy; exercise 3 times/week and normal weight. Thanks in advance!,2009,2011,29,Male
Lisinopril+hypertension,Hi; I can't sleep and was up thinking. As I said before; I just started getting the symptoms that everyone is experiencing 6 months ago around the time that I started taking Lisinopril-HCTZ for my high blood pressure. I was told by my primary doctor that Lisinopril-HCTZ was a water pill and that it was safe and a low dosage. After going to the emergency several times for a tickle on one side and sometime on both sides of my throat; coughing; watery eyes; and running nose; the emergency doctor asked me if I ever had COPD. I explained to him that I had never had any illnesses except High Blood Pressure; which was diagnosed around 6 months ago. The Emergency doctor kept questioning me about the time I starting Lisinopril-HCTZ and the time my symptoms started. He told my to stop taking Lisinopril-HCTZ and to call the hospitial today for a physcian. He also said that one of the side effect of Lisinopril-HCTZ is a dry cough. Once I arrived home I decided to took up the side effects of Lisinopril and found that it is not a water pill after all. I am wondering if Lisinopril-HCTZ can some how be contributed to my symptoms.,2009,2009,,
Lisinopril+hypertension,I am really confused between carvidilol and lisopril. About six weeks ago my blood pressure suddenly went up (170/80). As a precaution I went to emergency. They took EKG; X-rays; MRI of the brain and did blood work. Doctors in emergency could not find any problem with my heart and gave me one dose of antianxiety medicine and sent me home. Also advised me to see your cardiologist. Cardiologist prescribed me carvidilol (6.25mg); Lisinopril (5mg) and Pravastatin. My blood pressure was never more than 140/80 before taking the carvidilol once a day and lisonopril once in a day. I am 71 year old and thought 140/80 is normal for my age. But I took the carvi-lisono 6 hours apart. Carvi causes me light headed for hours and lisonopril caused me short breath and weakness. So I decided to stop lisonopril completely and by doing it caused lot of palpitation and discomfort. Right now I am only taking carvi once in a day. I feel that I don't have any heart disease but these medication making me sick. Please comment. Thanks.,2014,2014,69,Male
Lisinopril+hypertension,The patient (50 years old) had a very high systolic pressure ranging 180-210 mmHg. Used Lisinopril for 4 days in this way: 20 mg in 7 am ; and 20 mg Lisinopril in 7 pm (so total = 40 mg Lisinopril per day). During the day (systolic) hypertension goes 150-160 mmHg and only in 2-4pm it is 130 mmHg (and at 10-12 pm). What should be done for this patient. Maybe trying a diuretic (hydrochlorthiazid) and lowering the dose of Lisinopril? Please tell what do you think of the doses to start trying; how often and when during the day? (P.S. if you think of another drug/combination may be more effective trying; it would be a great help).,2011,2011,,
Lisinopril+hypertension,Hello; thank you for taking the time to answer this question. I have been diagnosed with Mitral Valve Leakage. I do not know the specific RF numbers associated with this. I read via the net that in time either mitral valve repair or replacement may be needed. The Cardiologist I am seeing has placed me on 5mg of Lisinoril. I am wondering if this is a theorpy for deplaying surgery or is it a long term plan to treat the leakage. I am also on 25mg Metoprolol twice daily. I will be having a heart cath in 2 weeks to investigate the valve further and to rule out any other damage. Please advise of the results of other Lisinopril treatment history. Thanks....G,2006,2006,,
Lisinopril+hypertension,I take lisinopril every morning does anyone know if I can take bynadryl?? I just don't want to have an interaction....,2007,2012,32,Female
Lisinopril+hypertension,I don't think my fathers doctor is being informative enough; but I just got my dad blood lab results and the main concern was his cholesterol; but the doctor felt he needed lisinopril 2.5mg ( very small dose ) to protect his kidneys. what numbers on a lab test would you look at to determine if kidneys needs protection? His blood pressure is fine and he is not dx diabetic ; so is their a need for ace inhibitors. What do md look for that is a clear sign the kidney is failing?,2007,2007,,
